LANGUAGE	BY_HUMANS_ALLTIME	BY_BOTS_ALLTIME	BY_HUMANS_2022	BY_BOTS_2022	RATIO_2022	MONTHLY_EDITORS_2022
nds	0.43959489368178734	0.5604051063182126	0.9933567799921844	0.006643220007815553	0.006491340440239208	29.916666666666668
lb	0.43280571976182014	0.5671942802381799	0.854732274685871	0.14526772531412901	0.01786725673245685	56.25
fy	0.5953805670205288	0.40461943297947117	0.9925710594315246	0.007428940568475452	0.038363102211488205	54.25
sco	0.534271296664922	0.46572870333507804	0.6317020355132091	0.3682979644867908	0.023331197924139756	69.66666666666667
als	0.6851969679645411	0.31480303203545895	0.9984805852560495	0.0015194147439504784	0.023903846541878812	57.833333333333336
bar	0.6770825831773009	0.32291741682269914	0.6314745972738538	0.3685254027261462	0.01816127754572951	39.083333333333336
frr	0.7910201350380377	0.20897986496196228	0.8505944152612662	0.14940558473873375	0.09919426938497908	16.166666666666668
yi	0.48920728435073807	0.510792715649262	0.9741814224948067	0.025818577505193393	0.02368984095068698	35.166666666666664
li	0.4171933432804065	0.5828066567195934	0.7504753855905345	0.24952461440946547	0.012910282673271378	21.166666666666668
fo	0.41487694482700677	0.5851230551729932	0.9872692552514322	0.012730744748567792	0.011478086790702093	28.833333333333332
vls	0.4516425102298367	0.5483574897701633	0.786161449752883	0.21383855024711698	0.014508202990554131	15.75
nds-nl	0.3967452325888284	0.6032547674111716	0.6799497960464387	0.3200502039535613	0.014256382269659001	13.583333333333334
zea	0.471908941191186	0.528091058808814	0.9801205361158586	0.019879463884141406	0.11587692051116345	9.666666666666666
stq	0.37509286492097577	0.6249071350790242	0.8109090909090909	0.1890909090909091	0.005597337702649067	7.583333333333333
ksh	0.31570367065364746	0.6842963293463525	0.9940374787052811	0.00596252129471891	0.020146551576201672	6.166666666666667
pfl	0.6498375654710601	0.35016243452893986	0.7195467422096318	0.2804532577903683	0.005850958032221707	5.5
pdc	0.27118593784766004	0.72881406215234	0.9190140845070423	0.08098591549295775	0.004212712304383298	6.166666666666667
en	0.9045440460315975	0.09545595396840244	0.9221457570964944	0.07785424290350562	0.05507787192585082	102574.0
de	0.9130185255958694	0.08698147440413057	0.9328201179405694	0.06717988205943064	0.044665928174117416	16141.166666666666
nl	0.6801898059523149	0.31981019404768507	0.6582818449524231	0.3417181550475769	0.0491257631200005	3521.0
da	0.6261677940909464	0.3738322059090537	0.6353022478692043	0.3646977521307957	0.041874346070108	710.6666666666666
is	0.5354674279360458	0.4645325720639541	0.7907005155520805	0.20929948444791946	0.03195754090833846	118.33333333333333
