	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
0	2001-01	0	0	0	0	0	0
1	2001-02	0	0	0	0	0	0
2	2001-03	0	0	0	0	0	0
3	2001-04	0	0	0	0	0	0
4	2001-05	0	0	0	0	0	0
5	2001-06	0	0	0	0	0	0
6	2001-07	0	0	0	0	0	0
7	2001-08	0	0	0	0	0	0
8	2001-09	0	0	0	0	0	0
9	2001-10	0	0	0	0	0	0
10	2001-11	0	0	0	0	0	0
11	2001-12	0	0	0	0	0	0
12	2002-01	0	0	0	0	0	0
13	2002-02	0	0	0	0	0	0
14	2002-03	0	0	0	0	0	0
15	2002-04	0	0	0	0	0	0
16	2002-05	0	0	0	0	0	0
17	2002-06	0	0	0	0	0	0
18	2002-07	0	0	0	0	0	0
19	2002-08	0	0	0	0	0	0
20	2002-09	0	0	0	0	0	0
21	2002-10	0	0	0	0	0	0
22	2002-11	0	0	0	0	0	0
23	2002-12	0	0	0	0	0	0
24	2003-01	0	0	0	0	0	0
25	2003-02	0	0	0	0	0	0
26	2003-03	0	0	0	0	0	0
27	2003-04	0	0	0	0	0	0
28	2003-05	0	0	0	0	0	0
29	2003-06	0	0	0	0	0	0
30	2003-07	0	0	0	0	0	0
31	2003-08	0	0	0	0	0	0
32	2003-09	0	0	0	0	0	0
33	2003-10	0	0	0	0	0	0
34	2003-11	0	0	0	0	0	0
35	2003-12	0	0	0	0	0	0
36	2004-01	0	0	0	0	0	0
37	2004-02	0	0	0	0	0	0
38	2004-03	0	0	0	0	0	0
39	2004-04	0	0	0	0	0	0
40	2004-05	0	0	0	0	0	0
41	2004-06	0	0	0	0	0	0
42	2004-07	0	0	0	0	0	0
43	2004-08	0	0	0	0	0	0
44	2004-09	0	0	0	0	0	0
45	2004-10	0	0	0	0	0	0
46	2004-11	0	0	0	0	0	0
47	2004-12	0	0	0	0	0	0
48	2005-01	0	0	0	0	0	0
49	2005-02	0	0	0	0	0	0
50	2005-03	0	0	0	0	0	0
51	2005-04	0	0	0	0	0	0
52	2005-05	0	0	0	0	0	0
53	2005-06	0	0	0	0	0	0
54	2005-07	2	0	0	0	2	1
55	2005-08	1	0	0	0	1	1
56	2005-09	0	0	0	0	0	0
57	2005-10	7	0	0	0	7	2
58	2005-11	0	0	0	4	4	0
59	2005-12	4	0	0	0	4	2
60	2006-01	0	0	0	0	0	0
61	2006-02	0	0	0	0	0	0
62	2006-03	2	0	0	0	2	1
63	2006-04	0	0	0	0	0	0
64	2006-05	19	37	0	0	56	7
65	2006-06	97	94	0	2	193	4
66	2006-07	6	21	0	3	30	3
67	2006-08	10	2	0	49	61	5
68	2006-09	29	8	0	0	37	8
69	2006-10	345	163	35	0	543	17
70	2006-11	911	486	56	0	1453	35
71	2006-12	651	381	54	1	1087	33
72	2007-01	985	428	133	0	1546	30
73	2007-02	1183	327	120	2	1632	39
74	2007-03	1101	424	398	4	1927	27
75	2007-04	1046	261	107	0	1414	29
76	2007-05	534	234	317	1	1086	31
77	2007-06	1147	262	208	0	1617	27
78	2007-07	845	172	97	0	1114	28
79	2007-08	1775	300	579	2	2656	35
80	2007-09	422	164	556	0	1142	29
81	2007-10	715	153	936	1	1805	20
82	2007-11	982	216	638	0	1836	28
83	2007-12	325	167	544	2	1038	26
84	2008-01	491	198	568	0	1257	32
85	2008-02	1175	245	1089	1	2510	33
86	2008-03	1610	165	611	0	2386	39
87	2008-04	589	239	578	0	1406	33
88	2008-05	979	205	846	5	2035	41
89	2008-06	819	148	1193	22	2182	48
90	2008-07	717	181	731	0	1629	46
91	2008-08	998	211	1043	6	2258	45
92	2008-09	581	190	786	16	1573	38
93	2008-10	1131	156	786	14	2087	38
94	2008-11	1108	102	757	0	1967	48
95	2008-12	801	132	968	1	1902	49
96	2009-01	937	152	1060	5	2154	45
97	2009-02	932	132	782	34	1880	53
98	2009-03	758	100	901	95	1854	68
99	2009-04	968	125	961	10	2064	55
100	2009-05	855	108	925	1	1889	57
101	2009-06	1029	119	1101	25	2274	62
102	2009-07	507	191	887	100	1685	58
103	2009-08	1072	85	1191	116	2464	72
104	2009-09	974	191	1180	177	2522	88
105	2009-10	665	90	695	351	1801	56
106	2009-11	652	138	723	172	1685	70
107	2009-12	797	81	927	118	1923	58
108	2010-01	896	123	754	139	1912	69
