	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
0	2001-01	0	0	0	0	0	0
1	2001-02	0	0	0	0	0	0
2	2001-03	0	0	0	0	0	0
3	2001-04	0	0	0	0	0	0
4	2001-05	0	0	0	0	0	0
5	2001-06	0	0	0	0	0	0
6	2001-07	0	0	0	0	0	0
7	2001-08	0	0	0	0	0	0
8	2001-09	0	0	0	0	0	0
9	2001-10	0	0	0	0	0	0
10	2001-11	0	0	0	0	0	0
11	2001-12	0	0	0	0	0	0
12	2002-01	0	0	0	0	0	0
13	2002-02	1	4	0	0	5	1
14	2002-03	8	3	0	0	11	1
15	2002-04	1	1	0	0	2	1
16	2002-05	57	21	0	0	78	3
17	2002-06	3	1	0	0	4	1
18	2002-07	2	1	0	0	3	1
19	2002-08	150	10	0	0	160	2
20	2002-09	228	17	0	0	245	4
21	2002-10	387	404	0	0	791	12
22	2002-11	263	58	0	0	321	7
23	2002-12	798	234	0	0	1032	10
24	2003-01	1147	207	0	0	1354	17
25	2003-02	4303	830	0	0	5133	13
26	2003-03	1981	1277	0	0	3258	15
27	2003-04	2018	338	0	0	2356	14
28	2003-05	3450	512	0	0	3962	22
29	2003-06	4623	402	0	0	5025	26
30	2003-07	3085	427	0	0	3512	19
31	2003-08	4113	460	0	0	4573	32
32	2003-09	3745	1126	0	0	4871	37
33	2003-10	3042	836	13	0	3891	33
34	2003-11	3810	925	833	0	5568	39
35	2003-12	4900	769	1846	0	7515	45
36	2004-01	3835	953	156	5	4949	42
37	2004-02	5622	1333	3551	4	10510	69
38	2004-03	6419	1404	1141	3	8967	103
39	2004-04	5280	1300	178	24	6782	101
40	2004-05	4346	1081	55	12	5494	78
41	2004-06	3746	2081	44	362	6233	85
42	2004-07	7373	903	839	12	9127	92
43	2004-08	10438	1346	61	14	11859	96
44	2004-09	6517	1175	2888	6	10586	100
45	2004-10	5190	1251	18	27	6486	117
46	2004-11	7147	1652	16	22	8837	137
47	2004-12	5566	1596	72	111	7345	133
48	2005-01	6334	1623	4973	321	13251	130
49	2005-02	4887	1364	5	2	6258	127
50	2005-03	5381	1600	3	7	6991	133
51	2005-04	10413	2594	951	2	13960	219
52	2005-05	19991	3006	160	9	23166	222
53	2005-06	13857	3094	131	97	17179	257
54	2005-07	15840	2813	1019	1653	21325	224
55	2005-08	20087	3299	4787	2757	30930	224
56	2005-09	8800	2927	7808	1551	21086	217
57	2005-10	12126	3240	309	4273	19948	228
58	2005-11	12508	3340	2828	2462	21138	231
59	2005-12	16252	4161	1241	3845	25499	270
60	2006-01	20787	6108	198	3865	30958	382
61	2006-02	16128	4273	490	3609	24500	346
62	2006-03	19222	5232	1455	7164	33073	398
63	2006-04	20395	5249	648	5823	32115	404
64	2006-05	15524	5214	3875	7249	31862	464
65	2006-06	19710	5956	7140	6599	39405	506
66	2006-07	22012	3946	1251	10364	37573	489
67	2006-08	20272	4737	1941	11290	38240	516
68	2006-09	20551	6296	1018	11424	39289	541
69	2006-10	19983	8066	5766	13229	47044	612
70	2006-11	16620	8418	267	15148	40453	641
71	2006-12	15603	8103	6719	12133	42558	691
72	2007-01	19909	8327	1455	19325	49016	880
73	2007-02	23783	5544	2856	11857	44040	1005
74	2007-03	25534	6879	349	20297	53059	1114
75	2007-04	25246	6535	280	14934	46995	984
76	2007-05	30412	6635	1821	16044	54912	1123
77	2007-06	25552	6453	3755	10135	45895	979
78	2007-07	23018	4767	804	9808	38397	816
79	2007-08	19292	5205	451	13479	38427	851
80	2007-09	23170	6163	161	16000	45494	1067
81	2007-10	23502	6760	581	20617	51460	1058
82	2007-11	26329	6816	323	19160	52628	1045
83	2007-12	21509	6386	73	17528	45496	1071
84	2008-01	31609	7831	1150	14201	54791	1189
85	2008-02	25950	6385	5365	15082	52782	1138
86	2008-03	23472	6673	707	15699	46551	1146
87	2008-04	22600	6057	526	18108	47291	1087
88	2008-05	24488	6483	1404	23214	55589	1126
89	2008-06	24032	6084	4184	21949	56249	1117
90	2008-07	20385	5275	944	19357	45961	993
91	2008-08	22634	5388	3591	23318	54931	1018
92	2008-09	21048	5448	1945	16345	44786	1147
93	2008-10	22683	6295	8413	20231	57622	1200
94	2008-11	21556	5319	6284	18087	51246	1260
95	2008-12	22360	5183	17396	17423	62362	1230
