	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	29	11	0	0
1	2001-02	133	20	0	0
2	2001-03	415	148	0	0
3	2001-04	540	89	0	0
4	2001-05	1211	178	0	0
5	2001-06	413	199	0	0
6	2001-07	753	401	0	0
7	2001-08	1337	687	0	0
8	2001-09	2452	1219	0	0
9	2001-10	4253	1918	0	0
10	2001-11	3849	2083	0	0
11	2001-12	3939	2497	0	4
12	2002-01	3081	1797	0	10
13	2002-02	23268	3857	0	0
14	2002-03	5419	2797	0	0
15	2002-04	5236	2345	0	0
16	2002-05	5131	3303	0	0
17	2002-06	7373	3498	0	0
18	2002-07	8437	4081	0	0
19	2002-08	13412	6450	0	16
20	2002-09	22200	7180	0	0
21	2002-10	49644	7838	0	0
22	2002-11	15154	7121	0	19
23	2002-12	15769	6836	0	31642
24	2003-01	18519	7948	0	0
25	2003-02	17598	6031	0	0
26	2003-03	18291	6888	0	0
27	2003-04	19485	7571	0	0
28	2003-05	25062	8819	0	43
29	2003-06	25253	9139	0	5927
30	2003-07	27457	11488	0	6377
31	2003-08	30819	13052	0	58
32	2003-09	30395	13054	0	388
33	2003-10	30620	13508	0	1679
34	2003-11	41206	14355	0	93
35	2003-12	45955	15546	0	5830
36	2004-01	45976	16296	0	1742
37	2004-02	59151	21696	0	1859
38	2004-03	77687	30207	0	2793
39	2004-04	81516	29229	0	735
40	2004-05	83895	30039	0	126
41	2004-06	135157	30988	0	52
42	2004-07	116444	35469	17604	1034
43	2004-08	124118	36840	2177	29280
44	2004-09	131586	44260	4436	2898
45	2004-10	150210	48313	1035	14214
46	2004-11	169349	57120	2897	39164
47	2004-12	151388	60521	14370	24039
48	2005-01	140445	59455	2834	1095
49	2005-02	140806	59452	1185	1451
50	2005-03	173718	72664	1505	4623
51	2005-04	197637	88396	4222	21245
52	2005-05	206671	96701	3793	17571
53	2005-06	219777	103070	8781	3748
54	2005-07	245555	118016	10236	12549
55	2005-08	263413	128937	3987	18615
56	2005-09	259297	126896	11801	41061
57	2005-10	287334	152753	9178	38843
58	2005-11	291921	156406	5653	82999
59	2005-12	368294	169763	3482	46521
60	2006-01	400272	181943	3933	66528
61	2006-02	413057	177538	4970	44345
62	2006-03	413173	192637	10414	184804
63	2006-04	417146	198212	10088	109446
64	2006-05	448266	218026	26202	103924
65	2006-06	453570	215174	28600	89863
66	2006-07	482335	219938	28347	119285
67	2006-08	523423	236472	44896	146114
68	2006-09	493404	242594	31191	95250
69	2006-10	514439	260971	20101	115737
70	2006-11	529666	271864	21664	99909
71	2006-12	546942	270674	34662	124414
72	2007-01	573131	294418	36651	129126
73	2007-02	555971	291816	58875	130144
74	2007-03	591340	308033	44923	135464
75	2007-04	585851	309656	57370	145246
76	2007-05	599297	315133	49694	122887
77	2007-06	584143	293667	45318	128983
78	2007-07	589308	289859	17085	133108
79	2007-08	591638	296733	31775	171059
80	2007-09	571558	300332	60442	191681
81	2007-10	582228	315257	70654	226491
82	2007-11	572950	300732	68498	164809
83	2007-12	577924	288801	56092	217338
84	2008-01	618822	318036	53220	133796
85	2008-02	606094	313108	33297	196531
86	2008-03	652045	333589	63799	259473
87	2008-04	637009	328112	32989	165327
88	2008-05	627231	327690	42620	194713
89	2008-06	606860	307901	42355	256586
90	2008-07	637326	309021	71871	203929
91	2008-08	642751	309229	49604	237491
92	2008-09	659535	316022	110417	356431
93	2008-10	662522	331019	121413	209132
94	2008-11	616949	308909	104787	247506
95	2008-12	641699	299057	89303	212261
96	2009-01	653082	326315	75518	200710
97	2009-02	613655	320232	195332	144028
98	2009-03	668506	338741	112259	159648
99	2009-04	645727	319839	63314	166072
100	2009-05	695283	321645	61151	269164
101	2009-06	638134	306630	54864	196395
102	2009-07	645127	300045	50764	161721
103	2009-08	665497	303819	48789	202826
104	2009-09	674018	306578	85850	266329
105	2009-10	651309	320027	75426	168084
106	2009-11	675836	313295	78499	207615
107	2009-12	686833	297963	91483	691303
108	2010-01	653968	321101	62319	132519
109	2010-02	636536	313235	107681	116514
110	2010-03	674501	332557	141976	117363
111	2010-04	655190	331977	161821	153425
112	2010-05	672805	325919	168175	147902
113	2010-06	632440	294217	204802	313416
114	2010-07	645399	297689	138356	131130
115	2010-08	679330	303255	105618	176655
116	2010-09	690616	308766	285377	158657
117	2010-10	653141	314263	429204	136079
118	2010-11	653730	306595	354640	122052
119	2010-12	630044	297686	297113	104857
120	2011-01	696212	325600	260556	115753
121	2011-02	642236	293617	177261	111105
122	2011-03	630085	294374	149281	128750
123	2011-04	606385	279413	227097	155716
124	2011-05	625919	285856	165526	128444
125	2011-06	648705	278243	231094	143634
126	2011-07	651653	273987	269244	136064
127	2011-08	653714	280962	131634	150101
128	2011-09	627072	277622	315814	83520
129	2011-10	611365	285343	159700	113329
