	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	4	0	0	0
41	2004-06	44	4	0	0
42	2004-07	31	23	0	0
43	2004-08	15	6	0	0
44	2004-09	21	11	0	0
45	2004-10	43	19	0	0
46	2004-11	22	9	0	0
47	2004-12	5	7	0	0
48	2005-01	48	12	0	0
49	2005-02	25	17	0	0
50	2005-03	41	6	67	0
51	2005-04	216	43	0	0
52	2005-05	141	15	1	0
53	2005-06	655	129	0	0
54	2005-07	69	41	144	0
55	2005-08	231	87	21	0
56	2005-09	788	51	749	0
57	2005-10	233	35	35	0
58	2005-11	200	39	49	0
59	2005-12	196	117	55	0
60	2006-01	155	109	17	0
61	2006-02	63	31	14	1
62	2006-03	39	16	493	0
63	2006-04	124	49	235	0
64	2006-05	81	35	223	0
65	2006-06	38	31	212	0
66	2006-07	40	40	224	269
67	2006-08	28	34	89	22
68	2006-09	22	30	169	0
69	2006-10	155	80	565	0
70	2006-11	130	65	521	0
71	2006-12	47	66	357	1
72	2007-01	58	196	779	4
73	2007-02	140	49	454	64
74	2007-03	270	88	607	101
75	2007-04	173	93	625	520
76	2007-05	127	55	665	58
77	2007-06	229	74	697	45
78	2007-07	278	64	715	0
79	2007-08	127	56	823	114
80	2007-09	172	48	824	6
81	2007-10	213	75	834	2
82	2007-11	155	84	854	1
83	2007-12	115	152	915	0
84	2008-01	184	153	540	1
85	2008-02	240	93	624	3
86	2008-03	264	250	999	6
87	2008-04	220	489	1003	5
88	2008-05	198	419	1096	61
89	2008-06	169	212	1073	216
90	2008-07	36	105	838	260
91	2008-08	137	112	1199	362
92	2008-09	175	136	699	181
93	2008-10	226	152	729	429
94	2008-11	106	45	808	512
95	2008-12	167	45	653	367
96	2009-01	276	74	935	899
97	2009-02	173	58	602	902
98	2009-03	157	67	704	666
99	2009-04	152	24	610	673
100	2009-05	98	47	735	726
101	2009-06	106	35	536	752
102	2009-07	93	31	838	1040
103	2009-08	124	28	667	884
104	2009-09	62	27	563	682
105	2009-10	284	78	550	844
106	2009-11	231	36	593	680
107	2009-12	287	12	685	643
108	2010-01	391	33	781	594
109	2010-02	208	41	663	668
110	2010-03	464	112	763	775
111	2010-04	273	59	680	1066
112	2010-05	265	174	351	843
113	2010-06	322	30	462	865
114	2010-07	159	14	388	995
115	2010-08	160	28	691	1055
116	2010-09	70	29	386	737
117	2010-10	507	60	289	1167
118	2010-11	161	51	381	915
119	2010-12	209	34	546	1004
120	2011-01	234	51	1008	793
121	2011-02	49	88	796	679
122	2011-03	209	64	872	928
