	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
0	2001-01	0	0	0	0	0	0
1	2001-02	0	0	0	0	0	0
2	2001-03	0	0	0	0	0	0
3	2001-04	0	0	0	0	0	0
4	2001-05	0	0	0	0	0	0
5	2001-06	0	0	0	0	0	0
6	2001-07	0	0	0	0	0	0
7	2001-08	0	0	0	0	0	0
8	2001-09	0	0	0	0	0	0
9	2001-10	0	0	0	0	0	0
10	2001-11	0	0	0	0	0	0
11	2001-12	0	0	0	0	0	0
12	2002-01	1	0	0	0	1	1
13	2002-02	0	0	0	0	0	0
14	2002-03	0	0	0	0	0	0
15	2002-04	0	0	0	0	0	0
16	2002-05	0	0	0	0	0	0
17	2002-06	0	0	0	0	0	0
18	2002-07	5	5	0	0	10	3
19	2002-08	3	2	0	0	5	2
20	2002-09	0	0	0	0	0	0
21	2002-10	0	0	0	0	0	0
22	2002-11	0	0	0	0	0	0
23	2002-12	0	3	0	0	3	0
24	2003-01	0	20	0	0	20	0
25	2003-02	1	3	0	0	4	1
26	2003-03	0	0	0	0	0	0
27	2003-04	6	3	0	0	9	2
28	2003-05	4	1	0	0	5	3
29	2003-06	1	6	0	0	7	1
30	2003-07	0	0	0	0	0	0
31	2003-08	6	0	0	0	6	4
32	2003-09	8	8	0	0	16	5
33	2003-10	9	1	0	0	10	7
34	2003-11	4	6	0	0	10	4
35	2003-12	12	14	0	1	27	7
36	2004-01	8	11	0	2	21	6
37	2004-02	12	1	0	0	13	6
38	2004-03	65	4	0	7	76	15
39	2004-04	39	8	0	2	49	14
40	2004-05	28	2	0	5	35	11
41	2004-06	50	14	0	3	67	24
42	2004-07	28	15	0	2	45	18
43	2004-08	37	15	0	7	59	18
44	2004-09	27	9	0	1	37	14
45	2004-10	23	11	0	0	34	13
46	2004-11	31	10	0	3	44	14
47	2004-12	24	5	0	4	33	12
48	2005-01	30	19	0	2	51	19
49	2005-02	21	11	0	3	35	16
50	2005-03	26	7	0	1	34	16
51	2005-04	32	24	0	7	63	15
52	2005-05	22	13	0	2	37	19
53	2005-06	20	13	0	6	39	13
54	2005-07	35	31	0	3	69	25
55	2005-08	50	21	0	20	91	20
56	2005-09	72	4	0	12	88	25
57	2005-10	60	22	0	12	94	27
58	2005-11	39	25	0	11	75	22
59	2005-12	38	35	0	8	81	19
60	2006-01	47	20	0	9	76	18
61	2006-02	51	22	0	4	77	26
62	2006-03	50	24	0	6	80	30
63	2006-04	31	20	0	2	53	21
64	2006-05	44	30	0	3	77	25
65	2006-06	64	30	0	18	112	29
66	2006-07	47	24	0	12	83	32
67	2006-08	43	38	0	6	87	36
68	2006-09	75	51	0	3	129	43
69	2006-10	37	35	0	6	78	26
70	2006-11	228	92	0	11	331	34
71	2006-12	68	31	0	29	128	37
72	2007-01	83	53	0	36	172	27
73	2007-02	73	38	0	9	120	25
74	2007-03	114	34	0	14	162	45
75	2007-04	52	36	0	14	102	30
76	2007-05	194	49	0	20	263	53
77	2007-06	75	52	0	12	139	46
78	2007-07	101	100	0	18	219	43
79	2007-08	71	48	0	5	124	27
80	2007-09	146	44	0	15	205	34
81	2007-10	63	40	0	23	126	30
82	2007-11	36	22	0	17	75	22
83	2007-12	41	12	0	8	61	21
84	2008-01	30	35	0	20	85	20
85	2008-02	120	29	0	3	152	17
86	2008-03	32	27	0	0	59	19
87	2008-04	43	52	0	12	107	24
88	2008-05	38	34	0	29	101	21
89	2008-06	22	53	0	13	88	10
90	2008-07	27	40	0	1	68	21
91	2008-08	35	304	1	12	352	18
92	2008-09	41	70	0	37	148	10
93	2008-10	35	79	0	25	139	18
94	2008-11	42	30	0	22	94	15
95	2008-12	33	73	0	25	131	14
96	2009-01	29	65	0	19	113	18
97	2009-02	34	55	0	51	140	20
98	2009-03	16	24	0	20	60	13
99	2009-04	25	38	0	19	82	14
100	2009-05	29	26	0	12	67	8
101	2009-06	17	29	0	7	53	13
102	2009-07	42	53	0	22	117	18
103	2009-08	78	56	0	8	142	20
104	2009-09	246	27	0	7	280	26
105	2009-10	161	64	0	10	235	25
106	2009-11	632	41	0	16	689	15
107	2009-12	317	79	0	25	421	17
108	2010-01	210	97	0	57	364	26
109	2010-02	196	45	0	24	265	25
110	2010-03	192	61	0	21	274	20
111	2010-04	749	103	0	25	877	16
