	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	14	0	0
21	2002-10	0	1	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	2	4	0	0
25	2003-02	0	1	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	36	1	0	0
31	2003-08	0	1	0	0
32	2003-09	0	4	0	0
33	2003-10	72	40	0	0
34	2003-11	526	84	380	0
35	2003-12	123	82	334	0
36	2004-01	133	151	541	0
37	2004-02	45	70	435	0
38	2004-03	168	163	433	0
39	2004-04	75	51	0	4
40	2004-05	87	28	290	0
41	2004-06	149	52	0	0
42	2004-07	328	44	1	0
43	2004-08	205	56	528	0
44	2004-09	76	20	630	0
45	2004-10	130	31	0	1
46	2004-11	91	197	533	0
47	2004-12	117	46	1	0
48	2005-01	184	59	2	0
49	2005-02	96	28	615	0
50	2005-03	170	49	760	0
51	2005-04	271	72	0	0
52	2005-05	358	74	371	0
53	2005-06	408	87	456	0
54	2005-07	389	68	853	3
55	2005-08	255	86	605	1
56	2005-09	139	43	204	0
57	2005-10	566	51	348	0
58	2005-11	281	34	319	0
59	2005-12	350	64	583	0
60	2006-01	293	61	526	1
61	2006-02	561	503	567	0
62	2006-03	276	97	788	1
63	2006-04	473	283	377	0
64	2006-05	477	118	13	28
65	2006-06	297	141	471	37
66	2006-07	405	106	864	44
67	2006-08	108	60	648	0
68	2006-09	242	67	514	0
69	2006-10	700	128	556	0
70	2006-11	514	133	1157	1
71	2006-12	799	143	617	0
72	2007-01	281	127	1149	0
73	2007-02	345	100	1222	0
74	2007-03	317	173	1372	0
75	2007-04	268	110	1319	0
76	2007-05	356	131	1533	0
77	2007-06	417	126	1397	0
78	2007-07	1012	93	981	0
79	2007-08	1132	121	1407	4
80	2007-09	823	98	1512	2
81	2007-10	2432	184	1599	5
82	2007-11	1468	108	1254	5
83	2007-12	1562	104	1722	3
84	2008-01	782	192	855	1
85	2008-02	617	110	1457	1
86	2008-03	854	112	1388	0
87	2008-04	874	113	2411	3
88	2008-05	866	80	2214	14
89	2008-06	799	109	2039	87
90	2008-07	499	84	2220	5
91	2008-08	614	56	2089	52
92	2008-09	771	86	1471	137
93	2008-10	828	68	2287	44
94	2008-11	725	82	1623	22
95	2008-12	948	84	1617	46
96	2009-01	806	112	3029	9
97	2009-02	770	92	2009	61
98	2009-03	640	119	2110	95
99	2009-04	1245	88	3347	47
100	2009-05	792	94	3331	198
101	2009-06	791	91	2555	18
102	2009-07	903	70	3986	53
103	2009-08	1160	63	3862	82
104	2009-09	801	96	2304	36
105	2009-10	1132	99	2495	40
106	2009-11	1051	125	2211	72
107	2009-12	918	83	2527	88
108	2010-01	2294	112	2611	108
109	2010-02	1365	137	3718	183
110	2010-03	1237	151	2929	72
111	2010-04	3727	128	3678	56
112	2010-05	2491	88	3333	108
113	2010-06	905	99	3977	101
114	2010-07	1750	72	2440	314
115	2010-08	1564	70	2940	1408
116	2010-09	1214	78	3510	1379
117	2010-10	1445	100	3831	314
118	2010-11	1387	77	2666	360
