	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	1	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	1	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	1	0	0
35	2003-12	1	4	0	0
36	2004-01	0	5	0	0
37	2004-02	31	19	0	0
38	2004-03	187	28	0	0
39	2004-04	57	71	0	1
40	2004-05	120	38	0	0
41	2004-06	143	57	0	1
42	2004-07	519	60	0	0
43	2004-08	909	78	0	0
44	2004-09	479	71	0	0
45	2004-10	1081	72	0	1
46	2004-11	701	185	0	0
47	2004-12	297	89	0	779
48	2005-01	170	96	0	0
49	2005-02	1267	143	0	0
50	2005-03	1521	200	0	0
51	2005-04	356	163	0	0
52	2005-05	513	97	0	0
53	2005-06	1148	175	0	0
54	2005-07	1443	190	0	69
55	2005-08	1059	205	0	83
56	2005-09	1151	173	0	126
57	2005-10	1605	192	0	35
58	2005-11	5196	242	0	206
59	2005-12	1485	256	0	731
60	2006-01	947	522	0	444
61	2006-02	658	331	0	80
62	2006-03	801	226	0	1891
63	2006-04	1184	398	0	1642
64	2006-05	1039	297	0	1230
65	2006-06	827	265	18	1291
66	2006-07	1030	271	36	2321
67	2006-08	1534	390	158	2513
68	2006-09	1076	250	543	964
69	2006-10	1439	319	793	1941
70	2006-11	1715	436	847	2667
71	2006-12	1212	372	792	3714
72	2007-01	1554	371	1045	2633
73	2007-02	1214	384	897	1780
74	2007-03	2310	609	3162	3094
75	2007-04	1502	561	839	2683
76	2007-05	1770	425	1040	2634
77	2007-06	6653	323	1216	2688
78	2007-07	5780	338	86	2842
79	2007-08	1434	364	435	4017
80	2007-09	1239	384	993	4015
81	2007-10	2009	578	814	4709
82	2007-11	2098	697	453	3385
83	2007-12	7268	503	1434	3225
84	2008-01	3226	681	244	3492
85	2008-02	2997	593	368	4170
86	2008-03	2970	540	224	3655
87	2008-04	1573	558	585	4280
88	2008-05	934	666	285	4979
89	2008-06	1149	514	120	5757
90	2008-07	1598	435	103	5045
91	2008-08	2022	423	69	4873
92	2008-09	2057	479	120	3505
93	2008-10	1506	526	82	4481
94	2008-11	2052	512	213	3721
95	2008-12	1875	423	715	4815
96	2009-01	1686	470	544	5103
97	2009-02	1184	520	35	4385
98	2009-03	1237	548	137	4514
99	2009-04	1112	567	102	5149
100	2009-05	2024	552	219	4769
101	2009-06	855	387	1159	3853
102	2009-07	1124	334	1077	5169
103	2009-08	987	639	1652	4774
104	2009-09	1349	559	1315	4059
105	2009-10	1079	570	859	4374
106	2009-11	1060	442	977	3692
107	2009-12	1074	405	1388	4050
108	2010-01	1840	528	1551	4368
109	2010-02	1249	561	1366	5267
110	2010-03	1288	549	1877	4501
111	2010-04	1073	518	1936	4644
112	2010-05	1128	583	1447	4485
113	2010-06	1037	385	534	4449
114	2010-07	1082	331	1575	3059
