	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	0	0	0	0
41	2004-06	0	0	0	0
42	2004-07	0	0	0	0
43	2004-08	0	0	0	0
44	2004-09	0	0	0	0
45	2004-10	0	0	0	0
46	2004-11	0	0	0	0
47	2004-12	0	0	0	0
48	2005-01	0	0	0	0
49	2005-02	0	0	0	0
50	2005-03	0	0	0	0
51	2005-04	0	0	0	0
52	2005-05	0	0	0	0
53	2005-06	0	0	0	0
54	2005-07	0	0	0	0
55	2005-08	17	9	0	0
56	2005-09	79	14	0	0
57	2005-10	173	11	0	0
58	2005-11	78	17	0	0
59	2005-12	209	76	0	0
60	2006-01	58	13	0	0
61	2006-02	58	16	0	0
62	2006-03	375	16	0	0
63	2006-04	46	5	0	0
64	2006-05	194	30	0	0
65	2006-06	311	52	0	0
66	2006-07	82	30	21	0
67	2006-08	65	11	3	0
68	2006-09	73	17	1	0
69	2006-10	405	17	624	0
70	2006-11	186	20	493	0
71	2006-12	398	26	607	0
72	2007-01	61	28	576	0
73	2007-02	53	20	427	0
74	2007-03	98	26	579	0
75	2007-04	96	21	503	0
76	2007-05	64	13	589	1
77	2007-06	188	25	560	0
78	2007-07	157	26	459	0
79	2007-08	120	18	696	18
80	2007-09	72	22	688	0
81	2007-10	22	17	700	0
82	2007-11	32	23	674	0
83	2007-12	102	24	670	0
84	2008-01	173	18	308	0
85	2008-02	57	26	352	35
86	2008-03	88	17	607	0
87	2008-04	48	23	709	0
88	2008-05	92	17	645	2
89	2008-06	60	4	772	11
90	2008-07	53	13	653	0
91	2008-08	34	14	658	8
92	2008-09	136	14	379	16
93	2008-10	219	16	473	8
94	2008-11	396	16	560	0
95	2008-12	149	14	496	1
96	2009-01	374	14	785	1
97	2009-02	75	13	563	40
98	2009-03	67	14	505	99
99	2009-04	23	17	666	1
100	2009-05	333	16	606	2
101	2009-06	50	12	471	1
102	2009-07	226	13	838	4
103	2009-08	25	7	694	7
104	2009-09	17	7	489	18
105	2009-10	152	9	609	1
106	2009-11	24	12	481	0
107	2009-12	22	15	575	3
108	2010-01	51	23	641	7
109	2010-02	46	13	646	1
110	2010-03	137	18	671	0
111	2010-04	183	22	893	0
112	2010-05	143	9	637	0
113	2010-06	133	22	720	0
114	2010-07	63	7	568	1
115	2010-08	46	4	823	0
116	2010-09	15	13	611	7
117	2010-10	15	6	613	0
118	2010-11	20	13	439	0
119	2010-12	69	10	600	1
120	2011-01	321	6	818	0
121	2011-02	635	27	682	0
122	2011-03	690	7	571	1
123	2011-04	755	14	383	0
