	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	0	0	0	0
41	2004-06	0	0	0	0
42	2004-07	42	11	0	0
43	2004-08	515	20	0	0
44	2004-09	979	34	0	0
45	2004-10	1016	47	0	9
46	2004-11	989	82	0	0
47	2004-12	648	55	55	1
48	2005-01	604	86	494	0
49	2005-02	778	56	1	0
50	2005-03	634	142	1	0
51	2005-04	529	118	164	0
52	2005-05	744	122	331	0
53	2005-06	764	118	269	0
54	2005-07	1141	95	75	92
55	2005-08	1040	165	39	0
56	2005-09	620	90	11	1661
57	2005-10	750	104	22	74
58	2005-11	1045	147	191	93
59	2005-12	1337	227	444	0
60	2006-01	1584	165	1696	1
61	2006-02	1116	169	632	4
62	2006-03	1564	215	1969	0
63	2006-04	1287	188	1959	0
64	2006-05	889	261	4	0
65	2006-06	912	228	788	0
66	2006-07	1467	219	3567	0
67	2006-08	2539	268	4519	1
68	2006-09	1649	328	2174	0
69	2006-10	2369	318	5141	0
70	2006-11	2400	316	4710	0
71	2006-12	2335	316	4305	0
72	2007-01	2216	328	5136	0
73	2007-02	1771	273	3341	0
74	2007-03	5407	396	4810	0
75	2007-04	1732	254	5669	0
76	2007-05	1640	317	4895	0
77	2007-06	1718	279	3880	0
78	2007-07	2062	267	2855	0
79	2007-08	2178	272	4458	0
80	2007-09	1386	223	6207	0
81	2007-10	1242	293	5618	0
82	2007-11	1139	251	4840	0
83	2007-12	1408	300	4829	11
84	2008-01	1906	305	4289	0
85	2008-02	1487	288	5726	0
86	2008-03	1589	292	5757	0
87	2008-04	1857	244	4696	0
88	2008-05	1632	190	6811	0
89	2008-06	1478	259	5886	2
90	2008-07	1446	159	4906	4
91	2008-08	1649	136	5264	3
92	2008-09	792	224	4635	18
93	2008-10	1224	166	6079	11
94	2008-11	1933	214	4605	2
95	2008-12	1686	152	22060	1
96	2009-01	1756	174	7192	0
97	2009-02	1388	148	3884	112
98	2009-03	1697	151	4859	417
99	2009-04	1840	142	6454	0
100	2009-05	2738	154	6738	0
101	2009-06	1255	133	4965	7
102	2009-07	1222	197	6675	121
103	2009-08	1107	111	5896	339
104	2009-09	1888	83	4384	219
105	2009-10	1650	130	4202	222
106	2009-11	775	134	3646	211
107	2009-12	1503	131	4007	249
108	2010-01	3039	163	4969	644
109	2010-02	1094	121	6092	675
110	2010-03	1899	198	4949	520
111	2010-04	2327	200	4485	2574
112	2010-05	2489	186	4003	2893
113	2010-06	1522	136	5360	1298
114	2010-07	1236	115	4097	382
115	2010-08	1799	146	6988	359
