	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	0	0	0	0
41	2004-06	0	0	0	0
42	2004-07	0	0	0	0
43	2004-08	0	1	0	0
44	2004-09	1	2	0	0
45	2004-10	0	0	0	0
46	2004-11	6	3	0	0
47	2004-12	12	12	4	0
48	2005-01	96	22	0	0
49	2005-02	161	22	0	0
50	2005-03	372	36	68	0
51	2005-04	322	64	214	0
52	2005-05	272	80	226	0
53	2005-06	384	44	379	0
54	2005-07	275	44	369	0
55	2005-08	278	76	378	0
56	2005-09	279	61	356	0
57	2005-10	407	60	401	0
58	2005-11	365	74	372	0
59	2005-12	345	66	447	0
60	2006-01	223	78	501	1
61	2006-02	289	69	396	3
62	2006-03	320	73	649	0
63	2006-04	343	80	544	0
64	2006-05	279	78	360	0
65	2006-06	555	101	517	0
66	2006-07	147	70	664	0
67	2006-08	607	78	595	0
68	2006-09	472	84	498	0
69	2006-10	279	101	628	0
70	2006-11	371	133	871	0
71	2006-12	284	95	1828	0
72	2007-01	377	113	1029	0
73	2007-02	292	106	739	0
74	2007-03	352	110	881	0
75	2007-04	194	102	981	0
76	2007-05	599	93	921	0
77	2007-06	463	108	1214	0
78	2007-07	381	67	930	0
79	2007-08	239	83	859	0
80	2007-09	417	90	872	0
81	2007-10	621	109	978	0
82	2007-11	349	94	1353	0
83	2007-12	411	83	1156	0
84	2008-01	346	119	795	0
85	2008-02	412	85	862	0
86	2008-03	342	66	944	0
87	2008-04	301	61	1224	0
88	2008-05	274	94	1255	0
89	2008-06	480	68	1200	3
90	2008-07	312	32	1316	2
91	2008-08	250	30	1283	54
92	2008-09	178	60	1097	11
93	2008-10	213	29	1039	1
94	2008-11	230	70	987	8
95	2008-12	218	39	837	50
96	2009-01	290	93	1395	387
97	2009-02	252	62	563	561
98	2009-03	180	68	652	595
99	2009-04	229	49	788	529
100	2009-05	208	56	898	472
101	2009-06	237	46	2023	541
102	2009-07	217	34	1134	640
103	2009-08	357	20	972	627
104	2009-09	317	38	836	524
105	2009-10	430	65	882	668
106	2009-11	578	70	1016	540
107	2009-12	444	55	1125	615
108	2010-01	823	65	1070	559
109	2010-02	420	50	958	718
110	2010-03	364	51	1225	825
111	2010-04	135	36	1760	1160
112	2010-05	168	38	801	934
113	2010-06	95	45	821	1302
114	2010-07	181	33	775	811
115	2010-08	151	35	1069	1124
116	2010-09	197	39	676	812
117	2010-10	167	41	639	1019
118	2010-11	269	44	750	703
119	2010-12	526	34	1277	867
120	2011-01	550	49	1281	969
121	2011-02	169	48	1032	672
