	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	0	0	0	0
41	2004-06	0	0	0	0
42	2004-07	0	0	0	0
43	2004-08	0	0	0	0
44	2004-09	0	0	0	0
45	2004-10	0	0	0	0
46	2004-11	0	0	0	0
47	2004-12	0	0	0	0
48	2005-01	0	0	0	0
49	2005-02	0	0	0	0
50	2005-03	0	0	0	0
51	2005-04	0	0	0	0
52	2005-05	0	0	0	0
53	2005-06	0	0	0	0
54	2005-07	0	0	0	0
55	2005-08	0	0	0	0
56	2005-09	0	0	0	0
57	2005-10	0	0	0	0
58	2005-11	0	0	0	0
59	2005-12	0	0	0	0
60	2006-01	0	0	0	0
61	2006-02	0	0	0	0
62	2006-03	372	74	0	0
63	2006-04	432	243	0	0
64	2006-05	153	31	0	0
65	2006-06	46	30	0	0
66	2006-07	43	29	8	7
67	2006-08	42	58	17	3
68	2006-09	54	51	7	1
69	2006-10	254	77	4	3
70	2006-11	118	33	16	2
71	2006-12	21	27	244	7
72	2007-01	8	47	139	13
73	2007-02	411	23	124	19
74	2007-03	17	21	209	20
75	2007-04	24	26	96	12
76	2007-05	25	23	151	39
77	2007-06	32	22	113	31
78	2007-07	25	21	50	4
79	2007-08	45	47	118	11
80	2007-09	18	17	144	172
81	2007-10	7	11	119	170
82	2007-11	15	21	138	146
83	2007-12	198	19	205	87
84	2008-01	19	18	131	136
85	2008-02	13	17	107	141
86	2008-03	13	13	158	111
87	2008-04	9	19	88	159
88	2008-05	18	18	231	311
89	2008-06	8	16	182	116
90	2008-07	8	20	167	133
91	2008-08	15	15	156	233
92	2008-09	11	25	91	381
93	2008-10	70	18	59	385
94	2008-11	135	36	85	233
95	2008-12	56	17	92	335
96	2009-01	259	23	127	244
97	2009-02	131	28	160	494
98	2009-03	64	36	1348	469
99	2009-04	150	21	356	246
100	2009-05	24	22	361	210
101	2009-06	22	16	196	273
102	2009-07	57	21	215	201
103	2009-08	42	17	216	200
104	2009-09	25	13	209	226
105	2009-10	29	17	284	173
106	2009-11	20	11	160	148
107	2009-12	26	17	204	160
108	2010-01	26	9	186	110
109	2010-02	33	15	171	185
110	2010-03	43	16	204	215
111	2010-04	11	8	175	352
112	2010-05	23	20	177	253
113	2010-06	108	13	211	271
114	2010-07	13	6	142	176
115	2010-08	28	29	210	408
116	2010-09	23	9	612	238
117	2010-10	13	5	171	221
118	2010-11	26	13	167	289
119	2010-12	14	9	200	284
120	2011-01	66	15	210	270
121	2011-02	13	9	248	293
122	2011-03	29	13	365	285
123	2011-04	7	6	129	229
