	timestamp	user	anonymous	group-bot	name-bot
0	2001-01	0	0	0	0
1	2001-02	0	0	0	0
2	2001-03	0	0	0	0
3	2001-04	0	0	0	0
4	2001-05	0	0	0	0
5	2001-06	0	0	0	0
6	2001-07	0	0	0	0
7	2001-08	0	0	0	0
8	2001-09	0	0	0	0
9	2001-10	0	0	0	0
10	2001-11	0	0	0	0
11	2001-12	0	0	0	0
12	2002-01	0	0	0	0
13	2002-02	0	0	0	0
14	2002-03	0	0	0	0
15	2002-04	0	0	0	0
16	2002-05	0	0	0	0
17	2002-06	0	0	0	0
18	2002-07	0	0	0	0
19	2002-08	0	0	0	0
20	2002-09	0	0	0	0
21	2002-10	0	0	0	0
22	2002-11	0	0	0	0
23	2002-12	0	0	0	0
24	2003-01	0	0	0	0
25	2003-02	0	0	0	0
26	2003-03	0	0	0	0
27	2003-04	0	0	0	0
28	2003-05	0	0	0	0
29	2003-06	0	0	0	0
30	2003-07	0	0	0	0
31	2003-08	0	0	0	0
32	2003-09	0	0	0	0
33	2003-10	0	0	0	0
34	2003-11	0	0	0	0
35	2003-12	0	0	0	0
36	2004-01	0	0	0	0
37	2004-02	0	0	0	0
38	2004-03	0	0	0	0
39	2004-04	0	0	0	0
40	2004-05	0	0	0	0
41	2004-06	0	0	0	0
42	2004-07	0	0	0	0
43	2004-08	0	0	0	0
44	2004-09	0	0	0	0
45	2004-10	0	0	0	0
46	2004-11	0	0	0	0
47	2004-12	0	0	0	0
48	2005-01	0	0	0	0
49	2005-02	0	0	0	0
50	2005-03	0	0	0	0
51	2005-04	0	0	0	0
52	2005-05	0	0	0	0
53	2005-06	0	0	0	0
54	2005-07	0	0	0	0
55	2005-08	0	0	0	0
56	2005-09	0	0	0	0
57	2005-10	0	0	0	0
58	2005-11	0	0	0	0
59	2005-12	0	0	0	0
60	2006-01	0	0	0	0
61	2006-02	0	0	0	0
62	2006-03	5	2	0	0
63	2006-04	15	10	0	0
64	2006-05	13	8	0	0
65	2006-06	14	9	8	0
66	2006-07	312	129	2	0
67	2006-08	352	87	4	0
68	2006-09	250	96	57	0
69	2006-10	385	81	495	0
70	2006-11	531	148	181	0
71	2006-12	549	117	879	0
72	2007-01	677	134	485	31
73	2007-02	383	95	265	0
74	2007-03	677	101	1057	0
75	2007-04	503	135	770	6
76	2007-05	373	159	409	6
77	2007-06	347	94	536	1
78	2007-07	225	134	512	0
79	2007-08	627	108	517	0
80	2007-09	456	90	1153	0
81	2007-10	437	109	737	0
82	2007-11	659	82	1568	0
83	2007-12	343	84	637	1
84	2008-01	542	132	360	0
85	2008-02	383	139	438	0
86	2008-03	335	101	571	0
87	2008-04	457	117	726	0
88	2008-05	215	75	803	3
89	2008-06	208	72	824	20
90	2008-07	227	51	1089	0
91	2008-08	331	74	927	25
92	2008-09	181	59	548	70
93	2008-10	223	52	710	12
94	2008-11	216	42	700	4
95	2008-12	150	36	629	2
96	2009-01	125	40	1158	4
97	2009-02	97	31	755	18
98	2009-03	190	43	696	141
99	2009-04	156	33	983	10
100	2009-05	165	46	1079	4
101	2009-06	318	53	633	182
102	2009-07	224	66	1130	601
103	2009-08	244	67	698	613
104	2009-09	217	41	510	365
105	2009-10	252	65	506	564
106	2009-11	305	59	480	363
107	2009-12	251	30	624	453
108	2010-01	128	78	806	460
109	2010-02	129	49	936	458
110	2010-03	162	47	766	519
111	2010-04	98	55	853	1020
112	2010-05	134	45	439	804
113	2010-06	91	76	650	724
114	2010-07	122	49	515	503
115	2010-08	62	26	781	811
116	2010-09	108	47	680	739
117	2010-10	122	34	352	752
118	2010-11	183	30	444	445
119	2010-12	133	75	517	563
120	2011-01	95	44	759	800
121	2011-02	108	49	616	517
122	2011-03	119	66	984	805
